Abko.	Eso es!
Abta.	Por eso.
¿Abti?	¿Que paso después?
Abu.	desobedencia.
Acho.	grosería!
Aibe.	Sólo.
Aisete.	Por Qué.
Aiteje.	Susto.
Aja.	Molestar.
Äkani.	Por esa causa.
¡Ake!	¡No molestes!
Akisete.	Por razon de que.
Aku.	Aguja.
Akwre.	Venga.
Alan.	Cresta de gallo.
¿Amare?	¿dónde está?
¿Ame?	¿Adonde está?
Amne.	Entonces y.
An.	Y.
Anchina.	Alegría.
Antlan.	Gallo.
Ani.	Vamos.
Angwane.	Cuando.
Ara.	Ese mismo.
Arabe.	Lo mismo.
Arato.	también
¡Ari!	¡Vamos!
Aro.	Arroz.
Asio.	estornudo.
Asio ngidienkä.	Estornudar.
Ate.	Dolor.
Aune.	Cuando.
Babi.	Pavo.
Badre.	Sacerdote.
Bali.	Bolsillo.
Bayi.	Ropa interior.
Ban.	Pan.
Bani.	Aluminio.
Bañon.	Pañuelo.
Baran.	Guineo.
Barankrä.	Finca.
Bare.	Terminado.
Barera.	Ya cumplido.
Basakä.	Visitante.
Basare.	Pasear
Basa täräe.	Pasaporte.
Batarabe.	Enseguida.
Bati.	Una vez.
Batata.	Alrededor.
Batibe.	De repente.
Bato.	Pato.
Bä.	Apariencia.
Bä aibe.	Un solo color.
Bä Diankakrä.	Cámara.
Bä diankä.	Sacar foto.
Be nice.	Señalar.
Bä mie.	Geh weg!
Bä ngösöi.	Claro.
Bä ngraba.	Limpio.
Bä räkä.	Poco.
Bäbtä.	Digno.
¿Bäbe?	¿Cuantas veces?
Bäbkä.	Cuatro veces.
Bäin.	Ayuno.
Bälen.	Sabroso.
Bämä.	Tres veces.
Bämän.	Domingo.
Bämänte.	Velorio.
Bämän tike.	Hace velorio.
Bämiara toae.	Televisión.
Bän.	Pez anguila.
Bäna.	Sabor.
Bänä noen.	Saborear.
Bänänte.	Sabroso.
Bäri.	Muy.
Bärike.	Cinco Veces.
Bärisi.	Parecido.
Bäse.	Lamer.
Bäsekä.	Barrer.
Bäsi.	Casi.
Bäsokö.	Sobar.
Bäsököta.	Reelegir.
Bätä.	Desprecio.
Bätäre.	Despacio.
Bätete.	Lavar.
Be.	Zapallo.
Ben.	Con él.
Ben.	Con ella.
Betaninte.	Soltar.
Bete.	Temblar.
Betekä.	Correr.
Betekä.	Estallar.
Betekä.	Explotar.
Bi.	Suegra.
Bian.	Mujer Extranjera.
meri.	Mujer.
köbö.	Día.
Törie.	Enero.
Nötarie.	Febrero.
Trärie.	marzo.
Tukerie.	Abril.
Mirie.	Mayo.
Ñurie.	Junio.
Bererie.	Julio.
Joborie.	Agosto.
Jokoire.	Septiembre.
Tomäirie.	Octubre.
Mikirie.	Noviembre.
Krisiminsi.	Diciembre.
¡Biare!	¡Ahora!.
Ma ta nune mdende.	¿Donde vives?.
Ti ta nune.	yo vivo en.
Bien.	Regalar.
Bien.	Dar.
Bile.	Alfiler.
Bile.	Gancho Pequeño.
Billo.	Anciana.
Bilón.	Pilón.
Bintin.	Reciente.
Bintin.	Pronto.
Bintin.	Nuevo
Bisi Bisi.	Coloreado.
Bisi Bisi.	Pintado.
Bisire.	Modelo de mochila.
Bisire.	Modelo de vestido.
Blato.	Plato.
BlärÄ.	Harina.
Blita.	Diálogo.
Blita.	Conversación.
Blitakrä.	Teléfono.
Blitakrä.	Telegrafía.
Blitäire.	Informar.
Blitäire.	Comunicar.
Blitäire.	Notificar.
Blitagwä.	Emisora.
Blite.	Hablar.
Blite gwärere.	Hablar frente a frente.
Blite ngwarbe.	Mentir.
Blo.	Malo.
Blite ngwarbe.	Bochinches.
Blo.	Incorrecto.
Blo.	Embarazo.
Blore.	Actuar mal
Blotu.	Meseta.
Blotu.	Pico de cerro
Blure.	Azul.
Blü.	Flor.
Blü.	Sapo Cantador.
Blübe.	Hinchado.
Blübe.	Inflamado.
Blübe.	Soplado.
Bobo.	Pájaro.
Bobre.	Humilde.
Bobre.	Pobre.
Bobota.	Sapo.
Bobu.	Dos veces.
Bokro.	Fósforo.
Bolore.	Redondo.
Bolore.	Círculo.
Bosi.	Nuera.
Bosi.	Cuñada.
Bökän.	Simpatía.
Bökän.	Verdad.
Bökänä.	Verdaderamente.
Bökänä.	Es cierto.
Bötä.	En.
Bötä.	Pegado.
Bötä.	Cerca.
Bötä.	Seguido.
Bötä ngwen.	Despreciar.
Brae.	Cazador.
Braibe.	Poco.
Braire.	Amenazar.
Brare.	Varón.
Brä.	Nieto.
Brämäne.	Desmayado.
Brän.	Vamos.
Bren.	Enfermo.
Bren.	Enfermedades.
Bren Käme.	Enfermedad.
Bren Käme.	Contagiosa.
Brete.	Pan.
Brichi.	Puente.
Brimo.	Liso.
Brimo.	Resbaloso.
Brimone.	Gordura.
Brimone.	En condición.
Brukwä.	Corazón.
Brutu.	Pecho.
Brükwä.	Corazón.
Bta.	Por eso.
Btabe.	En seguida.
Biti.	Entonces.
Biti.	Seguido.
Biti.	Después.
Biti.	Sobre.
Biti.	Con.
Biti.	Encima.
Bube.	Tulivieja
Buchu.	Bechita
Buke.	Alimentar.
Buke.	Soplar.
Bukere.	Celeste.
Buko.	Flecha.
Buko.	Chuzo.
Bukroän.	Pulmón
Bule.	Barriga
Bun.	Plátano
Bun.	Varicela.
Büra.	Venado.
Bure.	Nueva planta.
Bure.	Nuevo animal.
Büre jäke.	Respirar.
Büre Täke.	Soplar.
Bütiekrä.	Esqueleto.
Bütiere.	Desnudo.
Bü.	Pez.
Bü.	Guabo.
Bü.	Roncador.
Bukrä.	Pulmones.
Büle.	Barriga.
Büre.	Migaja.
Büre kete.	Detener la respiración.
Bürere.	Desmenuzado.
Bürere.	Molido.
Büsal.	Mojarra.
Büsal.	Chogorro.
Büsal.	Planta.
Chakla.	Pollitos.
Chan.	Gallotes.
Chambra.	Caña de pescar.
Chara.	Frijol pintado.
Chenka.	Conchita.
Chen.	Persona morena.
Chi.	Pequeño.
Chichikwata.	Ruiseñor.
Chiki.	Perrito.
Chokali.	Espiritu maligno.
Cholibo.	Garza blanca.
Chui.	Desconocido.
Chui.	Extraño.
Churu churu.	Arrugado.
Dekete.	Anchar.
Dekete.	Extender.
Dekete.	Ampliar.
Dela.	Capisucia.
Demaine.	Cariño.
Demaine.	Besar.
Deme.	Puro.
Deme.	Limpio.
Deme.	Intocable.
Den.	Tomar.!
Den.	Buscar.
Denkä.	Sacar.
Denkä kuin.	Sacar de la tierra.
Dentari.	Recoger.
Dentari.	Salvar.
Deo.	Noche.
Dera.	Rato.
Dere.	Tarde.
Deu.	Noche.
Di.	Fuerza.
Di.	Poder.
Diän.	Malcriado.
Di ñan.	Débil.
Dibire.	Nocturno.
Diemie.	Ayudar.
Diemie.	Inclinar
Diemie.	Apoyar.
Diemie.	Amparar.
Dikaro.	Mucho.
Dikaro.	Bastante.
Dikaro.	Varias veces.
Dike.	Maquillaje.
Dike.	Coser.
Dike.	Labial.
Dikekä.	Andar.
Dikente.	Destruir.
Dime.	Ácido.
Dime.	Apretado.
Dime.	Estrecho.
Diore.	Lejano.
Diore.	Un poco oscuro.
Diore.	Opaco.
Dirare.	Claro y limpio.
Diri jue.	Escuela.
Dirikä.	Maestro.
Dirikä.	Maestra.
Dirikä.	Profesor.
Dirikä.	Profesora.
Dirikä.	Profeta.
Dirikä.	Pastor.
Dirikä.	Pastora.
Dite.	Poderoso.
Diteta.	Recuperar la fuerza.
Doan.	Cuñado.
Doän.	Ropa.
Doän.	Vestido.
Dobo.	Tierra.
Dibo mie.	Enterrar.
Doboä.	Sardina..
Doboka.	Pesado.
Dobore.	Chocolate.
Dobro.	Laguna.
Dobro.	Charco.
Dobrore.	Sucia.
Doen.	Chupar.
Dokwä.	Cabeza.
Dokwä.	Tronco.
Dokwä druen.	Cabello.
Dokwä mie.	Peluquear.
Dokwä mie.	Cortar el cabello.
Dokwä sökö.	Peinarse.
Dokwä täke.	Prohibir.
Dokwä täke.	Impedir..
Domi.	Bejuco.
Dö.	Ron.
Dö jue.	Cantina
Döre.	Borracho.
Döre.	Ebrio
Drankwa.	Fiebre.
Drankwa kiare.	Sarampión.
Dräire.	Distribuir.
Dräire.	Repartir.
Dräre.	Cansado.
Dräre.	Agotado.
Drätike.	Eructar.
Dre.	Que.
¿Dre?	¿Que?
Drekbe.	Muy rapido.
Dribe.	Alacran.
Driere.	Enseñar.
Driere.	Señalar.
Drika.	Sábado.
Drinri.	Insecto.
Droa.	Lonche.
Droa.	Merienda.
Droasi.	Mono cara blanca.
Dru.	Mariposa nocturna.
Drun.	Ñame.
Drun.	Ñampí.
Drü.	Cuerno.
Rüen.	Pelo.
Rüen.	Pluma.
Rüen.	Vello.
Drüne.	Negro.
Drüne.	Moreno.
Drüne.	Oscuro.!
Du.	Bote.
Du.	Canoa.
Dua.	Abuelo.
Dua.	Pelícano.
Dube.	Selva.
Dube.	Maleza.
Duin.	Creer.
Duin.	Sentir
Duin.	Lastimar.
Duin.	Presentir.
Duka.	Aguacate.
Dun.	Red.
Durinsi.	Perico.
Dünkwä.	Puntiagudo.
Dürü butiere.	Calvo.
¡E!	¡Ahh!
Eble.	Mal tejido.
Echa.	Zorra.
Erara.	Ciertamente.
Erauto.	También.
Erebe.	Igual.
Erere.	Asi mismo.
Eteba.	Hermano.
Etbakrä.	Primo hermano.
Etebareta.	Primo.
Gaba.	Sabía.
Gare.	Saber.
Gätä.	Reunión.
Gätä.	Asamblea.
Gätäre.	Reunirse.
Genkä.	Hacer desaparecer
Gente.	Ocultar.
Gente.	Esconder.
Genten.	Adormecer.
Genten.	Morir.
¿Gere?	¿Que?
Gibiekä.	Aflojarse.
Gibiekä.	Salir de la reunión.
Gibiekä.	Divorcearse.
Giteckä.	Empujar.
Gobran.	Gorbenador.
Gobran.	Presidente.
Gobran.	Corregidor.
Gokä.	Ladrón.
Goire.	Robar.
Goire.	Estafar.
Gräkite.	Jugar.
Gräkite.	Actuar.
Gräkite.	Hacer guerra.
Grie.	Diarrea.
Grie därire.	Disentería.
Griere.	Con diarrea.
Grine.	Afilado.
Grü.	Tío.
Gu.	Hueco.
Gure.	Casados.
Gü.	Lechuza.
Gwa.	Pez.
Gwa.	Pescado.
Gwaire.	Juntos.
Gwaire.	Al mismo tiempo.
Gwara.	Lombrices.
Gwara.	Parásito.
Gwä.	Ahorita.
Gwä.	Hacia la casa.
Gwäre.	Rostro.
Gwärere.	Públicamente.
Gwero.	Huevo podrido.
Gwi.	En casa.
Gwi.	Dentro de casa.
Gwrä.	Ritos.
Gwre.	Rana
Gwrie.	Morado.
Gwire.	Hogar.
I.	Maíz.
Lä.	Grano de maíz.
Ibi.	Camaleón.
Ibia.	Caña.
Ibia mnun.	Azúcar.
Ibia nie.	Refresco de caña.
Ibia ngätä.	Raspadura.
I blu.	Flor de maíz.
Icha.	Culebra.
¡Icha!	¡Wow!
I döi.	Chicha de maíz.
Idro.	Luciérnaga.
I dru.	Brusca de maíz.
Ie.	Para el.
Ie.	A el.
Ieli.	Especie de pájaro.
I kä.	Hoja de maíz.
Ikle.	Hormiga grande.
Ikle.	Inglés.
Iklere.	Idioma inglés.
Ikoli.	Insecto.
Ikrä.	Finca de maíz.
I mrä.	Maíz nuevo.
Ison.	Nariz.
Iti.	Una persona.
Itire Itire.	Cada uno.
Itrani.	Orine.
Intra ken.	Orinar.
Iyan.	Pene.
Ja dätere.	Vestirse.
Ja dätere.	Arreglarse.
Ja driere.	Quejarse.
Ja erebe.	Igual.
Ja jiebti.	Para atras.
Ja keke.	Rascar.
Ja keke.	Cosquilla.
Ja mäke.	Hacer amistad.
Ja mie kri.	Jactarse.
Ja mie kri.	Orgullo.
Ja muko.	Amigo.
Ja muko.	Compañero.
Jamun.	Jabón.
Ja müre kete.	Suicidarse.
